StudentID,Name,Gender,Age,ClassLevel,Country,YearsCode,MathScore,EnglishScore,AttendancePct,Date,Email,Phone
115082,Fatima Yusuf,,16.0,SS3,USA,7.0,65,54,85,2021-05-05 06:00:00,fatima.yusuf1654@school.edu,07050937730
86795,Ada Ogundare,MALE,17.0,JSS1,UK,19.0,77,72,76,22/08/2021 03:00 AM,ada.ogundare1907@school.edu,08484889590
49227,Efe Olatunji,FEMALE,11.0,SS1,Nigeria,18.0,58,34,75,2021-07-08 03:00:00,efe.olatunji2306@school.edu,09828475957
16514,David Okafor,FEMALE,17.0,JSS1,Kenya,6.0,73,36,73,not_a_date,david.okafor8059@mail.com,07264516767
119749,Bola Nwosu,FEMALE,11.0,SS1,Nigeria,19.0,64,55,91,2020-10-15 14:00:00,bola.nwosu3192@example.com,07726106960
84130,Bola Bello,FEMALE,15.0,JSS3,UK,20.0,63,59,73,08-25-2019,bola.bello9726@gmail.com,08920161874
70465,Ngozi Ibrahim,MALE,10.0,SS3,Canada,3.0,56,49,68,2019-04-23 20:00:00,ngozi.ibrahim9675@mail.com,08829850928
29248,Fatima Adebayo,MALE,15.0,JSS2,Nigeria,0.0,51,60,89,,fatima.adebayo9007@school.edu,07573013623
61093,Ada Yusuf,FEMALE,11.0,JSS3,Canada,0.0,38,79,100,29/10/2020 09:00 PM,ada.yusuf7135@school.edu,07090920850
71435,Bola Bello,FEMALE,16.0,SS2,UK,11.0,43,73,73,2020-02-14 10:00:00,bola.bello7638@gmail.com,07357266742
11658,Yusuf Adekunle,,13.0,JSS3,Nigeria,17.0,54,77,73,2019-07-22 12:00:00,yusuf.adekunle3301@example.com,08878182916
52977,Ibrahim Okafor,MALE,19.0,JSS2,Nigeria,4.0,52,56,90,14/07/2019 11:00 AM,ibrahim.okafor1963@gmail.com,09589781467
119993,Tunde Adekunle,FEMALE,16.0,SS2,Nigeria,0.0,79,44,91,2021-02-16 10:00:00,tunde.adekunle7887@gmail.com,07871351029
57270,Seyi Ajayi,MALE,12.0,SS1,USA,2.0,76,40,100,2021-03-28 23:00:00,seyi.ajayi3724@gmail.com,08420450766
15670,Seun Eke,MALE,15.0,JSS2,UK,14.0,78,37,94,05-12-2021,seun.eke8838@gmail.com,09750703626
106434,Seun Yusuf,MALE,16.0,SS3,,0.0,45,64,100,02-16-2021,seun.yusuf9999@school.edu,09516230622
68093,Bola Ajayi,FEMALE,18.0,SS3,Nigeria,1.0,60,41,92,2020-01-29 09:00:00,bola.ajayi3745@school.edu,09490758619
106313,Bola Ogundare,FEMALE,19.0,JSS2,UK,3.0,100,56,74,2019-10-20 05:00:00,bola.ogundare281@school.edu,08845360661
41822,Kemi Ogunleye,MALE,15.0,JSS3,Nigeria,13.0,56,46,89,25/09/2021 02:00 PM,kemi.ogunleye4152@school.edu,07066868847
14889,David Ogunleye,,12.0,SS2,UK,19.0,49,44,80,2021-05-20 21:00:00,david.ogunleye1384@school.edu,09682479092abc
49125,Ibrahim Yusuf,MALE,19.0,SS1,USA,1.0,89,68,90,12-16-2021,ibrahim.yusuf5038@mail.com,07290578144
101979,Ibrahim Ogundare,MALE,10.0,SS3,Kenya,6.0,64,53,77,2020-02-24 20:00:00,ibrahim.ogundare1084@gmail.com,09124993545
21600,Yusuf Yusuf,MALE,15.0,JSS1,Ghana,1.0,36,64,84,23/12/2020 05:00 PM,yusuf.yusuf121@mail.com,08069528925
31969,Chidi Ogundare,FEMALE,16.0,JSS3,Ghana,0.0,70,48,89,2019-07-18 07:00:00,chidi.ogundare4436@school.edu,09741897156
2533,Seun Kennedy,MALE,16.0,SS3,Kenya,5.0,65,67,94,not_a_date,seun.kennedy6927@gmail.com,09762555152
63568,Ngozi Bello,,10.0,JSS1,Nigeria,14.0,58,55,77,08/09/2021 04:00 AM,ngozi.bello6308@mail.com,09214047526
81800,Ibrahim Ajayi,MALE,16.0,SS2,USA,12.0,69,52,77,28/08/2020 07:00 PM,ibrahim.ajayi6108@gmail.com,08297965545
22662,Ibrahim Okafor,FEMALE,19.0,SS1,Ghana,0.0,50,77,86,,ibrahim.okafor1010@school.edu,07624319576
23496,Seun Ogunleye,MALE,16.0,JSS3,USA,0.0,63,94,100,not_a_date,seun.ogunleye8052@example.com,07746844490
